bbref_id	School	"City, State"	latitude	longitude	From	To	Yrs	G	W	L	W-L%	SRS	SOS	AP	CREG	CTRN	NCAA	FF	NC
utah	Utah Utes	"Salt Lake City, Utah"	40.7670126	-111.8904307	1909	2016	108	2710	1748	962	0.645	8.03	3.47	20	30	5	28	4	1
utah-valley	Utah Valley Wolverines	"Orem, Utah"	40.2975185	-111.6944684	2010	2016	7	207	105	102	0.507	-9.64	-6.26	0	3	0	0	0	0
utica	Utica Pioneers	"Utica, New York"	43.1009031	-75.232664	1982	1987	6	158	64	94	0.405	-12.95	-7.35	0	0	0	0	0	0
valparaiso	Valparaiso Crusaders	"Valparaiso, Indiana"	41.4730948	-87.0611411	1918	2016	81	2019	1062	957	0.526	-4.49	-1.68	0	12	10	9	0	0
vanderbilt	Vanderbilt Commodores	"Nashville, Tennessee"	36.1622296	-86.774353	1901	2016	114	2660	1559	1101	0.586	8.32	4.67	11	3	3	13	0	0
vermont	Vermont Catamounts	"Burlington, Vermont"	44.4723989	-73.211494	1921	2016	61	1625	831	794	0.511	-11.3	-7.35	0	7	5	5	0	0
villanova	Villanova Wildcats	"Villanova, Pennsylvania"	40.0373323	-75.3490768	1921	2016	96	2582	1667	915	0.646	9.61	5.43	19	9	4	35	4	1
virginia	Virginia Cavaliers	"Charlottesville, Virginia"	38.029306	-78.476678	1906	2016	111	2678	1530	1147	0.572	5.98	5.25	9	8	2	19	2	0
virginia-commonwealth	Virginia Commonwealth Rams	"Richmond, Virginia"	37.5385087	-77.4342799	1974	2016	43	1300	839	461	0.645	4.91	0.41	3	9	9	14	1	0
virginia-military-institute	Virginia Military Institute Keydets	"Lexington, Virginia"	37.7840208	-79.4428156	1909	2016	108	2326	868	1458	0.373	-13.08	-4.93	1	2	3	3	0	0
virginia-tech	Virginia Tech Hokies	"Blacksburg, Virginia"	37.2296566	-80.4136766	1909	2016	108	2569	1387	1182	0.54	3.18	1.12	1	2	1	8	0	0
wabash	Wabash Little Giants	"Crawfordsville, Indiana"	40.0401991	-86.8990248	1897	1925	29	407	301	106	0.74			0	0	0			
wagner	Wagner Seahawks	"Staten Island, New York"	40.5834557	-74.1496047	1966	2016	44	1243	594	649	0.478	-9.88	-7.45	0	1	1	1	0	0
wake-forest	Wake Forest Demon Deacons	"Winston-Salem, North Carolina"	36.0998131	-80.2440517	1906	2016	110	2667	1495	1172	0.561	8.06	6.04	17	4	5	22	1	0
washburn	Washburn Ichabods	"Topeka, Kansas"	39.0490111	-95.6775556	1906	1941	35	557	270	283	0.488			0	0	0	0	0	0
washington-jefferson	Washington & Jefferson Presidents	"Washington, Pennsylvania"	40.1943798	-80.254125	1913	1944	10	128	73	55	0.57			0	0	0	0	0	0
washington-lee	Washington & Lee Generals	"Lexington, Virginia"	37.7840208	-79.4428156	1907	1959	51	905	472	432	0.522	-15.3	-5.67	0	3	2	0	0	0
washington-mo	Washington (MO) Bears	"St. Louis, Missouri"	38.6272733	-90.1978888	1905	1960	52	921	433	488	0.47	-5.23	-1.8	0	2	0	0	0	0
washington-college	Washington College Shoremen	"Chestertown, Maryland"	39.2089986	-76.0666125	1913	1925	13	151	109	42	0.722			0	0	0			
washington	Washington Huskies	"Seattle, Washington"	47.6038321	-122.3300623	1896	2016	115	2867	1734	1133	0.605	7.45	5.94	8	11	3	16	1	0
washington-state	Washington State Cougars	"Pullman, Washington"	46.7304268	-117.1738949	1902	2016	115	3014	1557	1457	0.517	3.13	4.81	3	2	0	6	1	0
wayne-state-mi	Wayne State (MI) Warriors	"Detroit, Michigan"	42.3486635	-83.0567374	1928	1950	5	104	47	57	0.452			0	0	0	0	0	0
weber-state	Weber State Wildcats	"Ogden, Utah"	41.2230048	-111.9738428	1964	2016	53	1534	968	566	0.631	0.57	-2.46	1	21	9	15	0	0
wesleyan-ct	Wesleyan (CT) Cardinals	"Middletown, Connecticut"	41.549566	-72.65155992	1896	1913	13	171	97	74	0.567			0	0	0			
west-chester	West Chester Golden Rams	"West Chester, Pennsylvania"	39.9597213	-75.6059637	1899	1982	10	244	86	158	0.352	-17.6	-8.15	0	1	0	0	0	0
west-texas-am	West Texas A&M Buffaloes	"Canyon, Texas"	35.02151	-101.910431	1921	1986	54	1275	707	568	0.555	-6.34	-1.64	0	4	0	1	0	0
west-virginia	West Virginia Mountaineers	"Morgantown, West Virginia"	39.629526	-79.9558967	1904	2016	107	2746	1693	1053	0.617	6.64	2.13	14	16	13	26	2	0
western-carolina	Western Carolina Catamounts	"Cullowhee, North Carolina"	35.3137111	-83.1765332	1977	2016	40	1154	513	641	0.445	-8.47	-4.02	0	3	1	1	0	0
western-illinois	Western Illinois Leathernecks	"Macomb, Illinois"	40.4588774	-90.6709793	1982	2016	35	994	421	573	0.424	-8.27	-3.71	0	2	1	0	0	0
western-kentucky	Western Kentucky Hilltoppers	"Bowling Green, Kentucky"	36.9903199	-86.4436017	1922	2016	95	2599	1722	877	0.663	3.32	-0.16	11	28	19	23	1	0
western-michigan	Western Michigan Broncos	"Kalamazoo, Michigan"	42.291707	-85.5872285	1914	2016	103	2440	1298	1142	0.532	-2.59	-0.09	1	10	2	4	0	0
western-state	Western State Mountaineers	"Gunnison, Colorado"	38.5458246	-106.9253206	1924	1937	14	189	88	101	0.466			0	0	0			
westminster-mo	Westminster (MO) Blue Jays	"Fulton, Missouri"	38.8467082	-91.9479585	1920	1920	1	17	17	0	1			0	0	0			
westminster-pa	Westminster (PA) Titans	"New Wilmington, Pennsylvania"	41.1222812	-80.3328427	1898	1935	21	294	210	84	0.714			0	0	0			
wheaton-il	Wheaton (IL) Thunder	"Wheaton, Illinois"	41.8646959	-88.1101708	1902	1905	4	57	39	17	0.696			0	0	0			
whittier	Whittier Poets	"Whittier, California"	33.9748932	-118.0336974	1909	1915	3	42	38	3	0.927			0	0	0			
wichita-state	Wichita State Shockers	"Wichita, Kansas"	37.6922361	-97.3375447	1906	2016	109	2668	1497	1171	0.561	5.52	3.16	6	9	3	12	2	0
widener	Widener Pride	"Chester, Pennsylvania"	39.849557	-75.3557457	1899	1909	5	26	20	6	0.769			0	0	0			
william-mary	William & Mary Tribe	"Williamsburg, Virginia"	37.2707028	-76.7074501	1906	2016	111	2531	1176	1355	0.465	-5.58	-2.65	0	3	0	0	0	0
williams	Williams Ephs	"Williamstown, Massachusetts"	42.712207	-73.2035985	1901	1911	10	161	136	24	0.85			0	0	0			
winthrop	Winthrop Eagles	"Rock Hill, South Carolina"	34.9248667	-81.0250783	1987	2016	30	889	464	425	0.522	-8.54	-6.95	1	7	10	9	0	0
wisconsin	Wisconsin Badgers	"Madison, Wisconsin"	43.074761	-89.3837612	1899	2016	118	2710	1539	1171	0.568	8.18	7.59	14	18	3	21	4	1
wisconsin-stevens-point	Wisconsin-Stevens Point Pointers	"Stevens Point, Wisconsin"	44.5229223	-89.5741109	1898	1918	21	156	98	58	0.628			0	0	0			
wisconsin-superior	Wisconsin-Superior Yellowjackets	"Superior, Wisconsin"	46.7207737	-92.1040795	1900	1901	2	14	10	4	0.714			0	0	0			
wittenberg	Wittenberg Tigers	"Springfield, Ohio"	39.9242266	-83.8088171	1931	1931	1	20	18	2	0.9			0	0	0			
wofford	Wofford Terriers	"Spartanburg, South Carolina"	34.9498007	-81.9320156	1996	2016	21	623	293	330	0.47	-6.93	-2.94	0	3	4	4	0	0
wooster	Wooster Fighting Scots	"Wooster, Ohio"	40.8050565	-81.9351429	1901	1931	31	390	225	165	0.577			0	0	0			
worcester-tech	Worcester Tech Engineers	"Worcester, Massachusetts"	42.2625932	-71.8022933	1920	1920	1	16	14	2	0.875			0	0	0			
wright-state	Wright State Raiders	"Dayton, Ohio"	39.7589478	-84.1916068	1988	2016	29	855	455	400	0.532	-1.94	-2.02	0	1	2	2	0	0
wyoming	Wyoming Cowboys	"Laramie, Wyoming"	41.3113669	-105.5911006	1905	2016	111	2608	1482	1126	0.568	2.95	2.73	4	21	3	15	1	1
xavier	Xavier Musketeers	"Cincinnati, Ohio"	39.1014537	-84.5124601	1920	2016	95	2373	1408	965	0.593	5.2	3.36	10	17	9	25	0	0
yale	Yale Bulldogs	"New Haven, Connecticut"	41.3082138	-72.9250517	1896	2016	121	2858	1412	1443	0.495	-6.96	-4.79	1	11	0	3	0	0
youngstown-state	Youngstown State Penguins	"Youngstown, Ohio"	41.0997803	-80.6495193	1948	2016	36	1023	396	627	0.387	-8.32	-3.19	0	0	0	0	0	0
